2022	2.50%	2.73%
2021	-0.23%	-0.21%
2020	-0.03%	-0.49%
2019	0.47%	-0.52%
2018	0.99%	0.50%
2017	0.48%	0.61%
2016	-0.13%	-0.92%
2015	0.80%	-1.96%
2014	2.76%	2.42%
2013	0.34%	0.38%
2012	-0.04%	0.23%
2011	-0.27%	0.46%
2010	-0.73%	0.62%
2009	-1.35%	-2.73%
2008	1.38%	1.32%
2007	0.06%	-0.19%
2006	0.25%	0.53%
2005	-0.28%	-0.27%
2004	-0.01%	0.25%
2003	-0.26%	0.67%
2002	-0.92%	-0.18%
2001	-0.74%	-0.06%
2000	-0.68%	-0.34%
1999	-0.34%	-1.00%
1998	0.66%	-1.09%
1997	1.75%	1.61%
1996	0.14%	0.26%
1995	-0.13%	-0.82%
1994	0.70%	-0.55%
1993	1.24%	-0.52%
1992	1.76%	-1.49%
1991	3.25%	0.17%
1990	3.08%	0.81%
1989	2.27%	1.59%
1988	0.68%	0.55%
1987	0.13%	-0.47%
1986	0.60%	-1.44%
1985	2.03%	-0.23%
1984	2.26%	0.36%
1983	1.90%	-0.84%
1982	2.74%	-2.17%
1981	4.91%	-2.87%
1980	7.78%	4.08%
1979	3.70%	-0.51%
1978	4.21%	-3.95%
1977	8.16%	-1.21%
1976	9.37%	-2.36%
1975	11.73%	-11.49%
1974	23.22%	11.61%
1973	11.61%	6.77%
1972	4.84%	-1.55%
1971	6.40%	-0.53%
1970	6.92%	1.67%
1969	5.25%	-0.09%
1968	5.34%	1.35%
1967	3.99%	-1.05%
1966	5.04%	-1.62%
1965	6.66%	2.86%
1964	3.80%	-2.91%
1963	6.71%	-0.13%
1962	6.84%	1.47%
1961	5.37%	1.79%
1960	3.57%
