2022	7.92%	
2021	2.52%	
2020	0.99%	
2019	1.74%	-0.55%
2018	2.29%	-0.27%
2017	2.56%	1.55%
2016	1.01%	0.64%
2015	0.37%	-1.08%
2014	1.45%	-0.84%
2013	2.29%	-0.28%
2012	2.57%	-1.28%
2011	3.86%	1.36%
2010	2.49%	0.53%
2009	1.96%	-1.56%
2008	3.52%	1.13%
2007	2.39%	-0.07%
2006	2.46%	0.37%
2005	2.09%	0.70%
2004	1.39%	0.01%
2003	1.38%	-0.14%
2002	1.52%	-0.01%
2001	1.53%	0.35%
2000	1.18%	-0.57%
1999	1.75%	-0.07%
1998	1.82%	-0.38%
1997	2.20%	-0.65%
1996	2.85%	0.15%
1995	2.70%	0.48%
1994	2.22%	-0.34%
1993	2.56%	-2.03%
1992	4.59%	-2.87%
1991	7.46%	-0.60%
1990	8.06%	2.30%
1989	5.76%	1.60%
1988	4.16%	0.01%
1987	4.15%	0.72%
1986	3.43%	-2.64%
1985	6.07%	1.11%
1984	4.96%	0.35%
1983	4.61%	-3.99%
1982	8.60%	-3.28%
1981	11.88%	-6.09%
1980	17.97%	4.54%
1979	13.42%	5.16%
1978	8.26%	-7.58%
1977	15.84%	-0.72%
1976	16.56%	-7.65%
1975	24.21%	8.16%
1974	16.04%	6.85%
1973	9.20%	2.12%
1972	7.07%	-2.37%
1971	9.44%	3.08%
1970	6.37%	0.92%
1969	5.45%	0.75%
1968	4.70%	2.22%
1967	2.48%	-1.43%
1966	3.91%	-0.86%
1965	4.77%	1.49%
1964	3.28%	1.26%
1963	2.02%	-2.18%
1962	4.20%	0.75%
1961	3.45%	
1960	1.00%
