2024	3.81%	3.93%	3.66%
2023	3.73%	4.04%	3.50%
2022	3.72%	4.22%	3.19%
2021	3.18%	3.61%	2.72%
2020	4.12%	7.01%	2.97%
2019	4.49%	4.86%	4.20%
2018	4.06%	4.93%	3.49%
2017	3.71%	3.82%	3.56%
2016	3.98%	4.49%	3.65%
2015	3.65%	4.18%	3.37%
2014	3.52%	3.77%	3.38%
2013	3.53%	3.80%	3.34%
2012	3.67%	4.04%	3.30%
2011	3.31%	3.90%	2.85%
2010	3.33%	3.85%	2.99%
2009	4.31%	5.96%	3.27%
2008	4.25%	6.19%	3.11%
2007	3.05%	3.38%	2.89%
2006	3.16%	3.47%	2.98%
2005	3.15%	3.33%	2.88%
2004	3.25%	3.45%	3.11%
2003	3.50%	4.21%	3.20%
2002	3.08%	3.81%	2.51%
2001	2.45%	3.07%	2.15%
2000	2.09%	2.30%	1.94%
