1960	55.09%
1961	5.60%
1962	-0.91%
1963	-13.73%
1964	-0.65%
1965	16.52%
1966	2.40%
1967	-11.64%
1968	33.67%
1969	37.55%
1970	-15.77%
1971	36.59%
1972	91.89%
1973	-17.30%
1974	-11.38%
1975	14.20%
1976	14.50%
1977	-2.50%
1978	23.35%
1979	9.45%
1980	8.33%
1981	7.95%
1982	4.36%
1983	23.41%
1984	16.67%
1985	13.60%
1986	42.61%
1987	15.31%
1988	39.86%
1989	29.04%
1990	-38.72%
1991	-3.63%
1992	-26.36%
1993	2.91%
1994	13.24%
1995	0.74%
1996	-2.55%
1997	-21.19%
1998	-9.29%
1999	36.79%
2000	-27.19%
2001	-23.52%
2002	-18.63%
2003	24.46%
2004	7.61%
2005	40.23%
2006	6.92%
2007	-11.13%
2008	-42.12%
2009	19.03%
2010	-3.01%
2011	-17.34%
2012	22.95%
2013	56.72%
2014	7.12%
2015	9.07%
2016	0.42%
2017	19.10%
2018	-12.08%
2019	18.19%
2020	16.01%
2021	4.91%
2022	-9.37%
2023	28.24%
